v DBInternal
# silvaco.file ASCII version=1.14.4 format=1 contents=SDB,Tables=1

Copyright "###################################################################"
Copyright "#               Copyright Silvaco International (c)               #"
Copyright "#                            1992-2008                            #"
Copyright "#                                                                 #"
Copyright "# This file format and the following Key are copyright Silvaco    #"
Copyright "# International. You may not use, this format or key without      #"
Copyright "# reproducing this message in full and obtaining                  #"
Copyright "# express written permission from Silvaco International.          #"
Copyright "#                                                                 #"
Copyright "# To obtain such permission please contact: Silvaco International #"
Copyright "#                                           support@silvaco.com   #"
Copyright "#                                                                 #"
Copyright "# KEY=SVC86hn7562asdx                       PROD=345              #"
Copyright "###################################################################"
#libSDB 1.12.9 (Fri Feb 25 17:50:17 PST 2011)
j 1 1
k 0
p 4 10000 10001 10002 10003
d 1 0.9 3646 0.3646
d 2 0.91 3810.6900000000001 0.381069
d 3 0.92 4183.3599999999997 0.418336
d 4 0.93 4327.9399999999996 0.432794
d 5 0.94 4086.8499999999999 0.408685
d 6 0.95 4208.7600000000002 0.420876
d 7 0.96 4253.9099999999999 0.425391
d 8 0.97 4477.0100000000002 0.447701
d 9 0.98 4058.0300000000002 0.405803
d 10 0.99 4018.04 0.401804
d 11 1 3918.6199999999999 0.391862
d 12 1.01 4329.7799999999997 0.432978
d 13 1.02 4567.3800000000001 0.456738
d 14 1.03 4585.8000000000002 0.45858
d 15 1.04 4249.1800000000003 0.424918
d 16 1.05 4346.4300000000003 0.434643
d 17 1.0600000000000001 4785.3100000000004 0.478531
d 18 1.0700000000000001 4846.6099999999997 0.484661
d 19 1.0800000000000001 4496.8699999999999 0.449687
d 20 1.0900000000000001 4894.1599999999999 0.489416
d 21 1.1000000000000001 4244.46 0.424446
d 22 1.1099999999999999 4657.1599999999999 0.465716
d 23 1.1200000000000001 4267.9399999999996 0.426794
d 24 1.1299999999999999 4376.2799999999997 0.437628
d 25 1.1399999999999999 4483.2799999999997 0.448328
d 26 1.1499999999999999 4522.6800000000003 0.452268
d 27 1.1599999999999999 4896.3500000000004 0.489635
d 28 1.1699999999999999 5101.1000000000004 0.51011
d 29 1.1799999999999999 5037.75 0.503775
d 30 1.1899999999999999 5129.5799999999999 0.512958
d 31 1.2 5205.4499999999998 0.520545
Q 10000 1 ex_id
Q 10001 1 thick
Q 10002 1 cd_in_A
Q 10003 1 CD
EOF 1880645118
